0.1259 (+/-0.000) for {'classifier__C': 0.001, 'classifier__class_weight': None, 'classifier__gamma': 1e-05, 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 2}
0.0872 (+/-0.045) for {'classifier__C': 0.01, 'classifier__class_weight': 'balanced', 'classifier__gamma': 100.0, 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 10}
0.0872 (+/-0.045) for {'classifier__C': 0.01, 'classifier__class_weight': 'balanced', 'classifier__gamma': 100.0, 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 2}
0.0872 (+/-0.045) for {'classifier__C': 0.01, 'classifier__class_weight': 'balanced', 'classifier__gamma': 100.0, 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 5}
0.0872 (+/-0.045) for {'classifier__C': 0.01, 'classifier__class_weight': 'balanced', 'classifier__gamma': 100.0, 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 10}
0.0872 (+/-0.045) for {'classifier__C': 0.01, 'classifier__class_weight': 'balanced', 'classifier__gamma': 100.0, 'imputer__n_neighbors': 10, 'replacer__n_neighbors': 2}
0.0872 (+/-0.045) for {'classifier__C': 0.01, 'classifier__class_weight': 'balanced', 'classifier__gamma': 100.0, 'imputer__n_neighbors': 10, 'replacer__n_neighbors': 5}
0.0872 (+/-0.045) for {'classifier__C': 0.01, 'classifier__class_weight': 'balanced', 'classifier__gamma': 100.0, 'imputer__n_neighbors': 10, 'replacer__n_neighbors': 10}
0.0872 (+/-0.045) for {'classifier__C': 0.01, 'classifier__class_weight': 'balanced', 'classifier__gamma': 1000.0, 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 2}
0.0872 (+/-0.045) for {'classifier__C': 0.01, 'classifier__class_weight': 'balanced', 'classifier__gamma': 1000.0, 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 5}
0.0872 (+/-0.045) for {'classifier__C': 0.01, 'classifier__class_weight': 'balanced', 'classifier__gamma': 1000.0, 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 10}
0.0872 (+/-0.045) for {'classifier__C': 0.01, 'classifier__class_weight': 'balanced', 'classifier__gamma': 1000.0, 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 2}
0.0872 (+/-0.045) for {'classifier__C': 0.01, 'classifier__class_weight': 'balanced', 'classifier__gamma': 1000.0, 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 5}
0.0872 (+/-0.045) for {'classifier__C': 0.01, 'classifier__class_weight': 'balanced', 'classifier__gamma': 1000.0, 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 10}
0.0872 (+/-0.045) for {'classifier__C': 0.01, 'classifier__class_weight': 'balanced', 'classifier__gamma': 1000.0, 'imputer__n_neighbors': 10, 'replacer__n_neighbors': 2}
0.0872 (+/-0.045) for {'classifier__C': 0.01, 'classifier__class_weight': 'balanced', 'classifier__gamma': 1000.0, 'imputer__n_neighbors': 10, 'replacer__n_neighbors': 5}
0.0872 (+/-0.045) for {'classifier__C': 0.01, 'classifier__class_weight': 'balanced', 'classifier__gamma': 1000.0, 'imputer__n_neighbors': 10, 'replacer__n_neighbors': 10}
0.1259 (+/-0.000) for {'classifier__C': 0.1, 'classifier__class_weight': None, 'classifier__gamma': 1e-05, 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 2}
0.1259 (+/-0.000) for {'classifier__C': 0.1, 'classifier__class_weight': None, 'classifier__gamma': 1e-05, 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 5}
0.1259 (+/-0.000) for {'classifier__C': 0.1, 'classifier__class_weight': None, 'classifier__gamma': 1e-05, 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 10}
0.1259 (+/-0.000) for {'classifier__C': 0.1, 'classifier__class_weight': None, 'classifier__gamma': 1e-05, 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 2}
0.1259 (+/-0.000) for {'classifier__C': 0.1, 'classifier__class_weight': None, 'classifier__gamma': 1e-05, 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 5}
0.1259 (+/-0.000) for {'classifier__C': 0.1, 'classifier__class_weight': None, 'classifier__gamma': 1e-05, 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 10}
0.1259 (+/-0.000) for {'classifier__C': 0.1, 'classifier__class_weight': None, 'classifier__gamma': 1e-05, 'imputer__n_neighbors': 10, 'replacer__n_neighbors': 2}
0.1259 (+/-0.000) for {'classifier__C': 0.1, 'classifier__class_weight': None, 'classifier__gamma': 1e-05, 'imputer__n_neighbors': 10, 'replacer__n_neighbors': 5}
0.1259 (+/-0.000) for {'classifier__C': 0.1, 'classifier__class_weight': None, 'classifier__gamma': 1e-05, 'imputer__n_neighbors': 10, 'replacer__n_neighbors': 10}
0.1259 (+/-0.000) for {'classifier__C': 0.1, 'classifier__class_weight': None, 'classifier__gamma': 0.0001, 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 2}
0.1259 (+/-0.000) for {'classifier__C': 0.1, 'classifier__class_weight': None, 'classifier__gamma': 0.0001, 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 5}
0.1259 (+/-0.000) for {'classifier__C': 0.1, 'classifier__class_weight': None, 'classifier__gamma': 0.0001, 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 10}
0.1259 (+/-0.000) for {'classifier__C': 0.1, 'classifier__class_weight': None, 'classifier__gamma': 0.0001, 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 2}
0.1259 (+/-0.000) for {'classifier__C': 0.1, 'classifier__class_weight': None, 'classifier__gamma': 0.0001, 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 5}
0.1259 (+/-0.000) for {'classifier__C': 0.1, 'classifier__class_weight': None, 'classifier__gamma': 0.0001, 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 10}
0.1259 (+/-0.000) for {'classifier__C': 0.1, 'classifier__class_weight': None, 'classifier__gamma': 0.0001, 'imputer__n_neighbors': 10, 'replacer__n_neighbors': 2}
0.1259 (+/-0.000) for {'classifier__C': 0.1, 'classifier__class_weight': None, 'classifier__gamma': 0.0001, 'imputer__n_neighbors': 10, 'replacer__n_neighbors': 5}
0.1259 (+/-0.000) for {'classifier__C': 0.1, 'classifier__class_weight': None, 'classifier__gamma': 0.0001, 'imputer__n_neighbors': 10, 'replacer__n_neighbors': 10}
0.2348 (+/-0.012) for {'classifier__C': 0.1, 'classifier__class_weight': None, 'classifier__gamma': 0.001, 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 2}
0.2348 (+/-0.012) for {'classifier__C': 0.1, 'classifier__class_weight': None, 'classifier__gamma': 0.001, 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 5}
0.2348 (+/-0.012) for {'classifier__C': 0.1, 'classifier__class_weight': None, 'classifier__gamma': 0.001, 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 10}
0.2346 (+/-0.012) for {'classifier__C': 0.1, 'classifier__class_weight': None, 'classifier__gamma': 0.001, 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 2}
0.2346 (+/-0.012) for {'classifier__C': 0.1, 'classifier__class_weight': None, 'classifier__gamma': 0.001, 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 5}
0.2346 (+/-0.012) for {'classifier__C': 0.1, 'classifier__class_weight': None, 'classifier__gamma': 0.001, 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 10}
0.2352 (+/-0.011) for {'classifier__C': 0.1, 'classifier__class_weight': None, 'classifier__gamma': 0.001, 'imputer__n_neighbors': 10, 'replacer__n_neighbors': 2}
0.2352 (+/-0.011) for {'classifier__C': 0.1, 'classifier__class_weight': None, 'classifier__gamma': 0.001, 'imputer__n_neighbors': 10, 'replacer__n_neighbors': 5}
0.2352 (+/-0.011) for {'classifier__C': 0.1, 'classifier__class_weight': None, 'classifier__gamma': 0.001, 'imputer__n_neighbors': 10, 'replacer__n_neighbors': 10}
0.5116 (+/-0.028) for {'classifier__C': 0.1, 'classifier__class_weight': None, 'classifier__gamma': 0.01, 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 2}
0.5116 (+/-0.028) for {'classifier__C': 0.1, 'classifier__class_weight': None, 'classifier__gamma': 0.01, 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 5}
0.5116 (+/-0.028) for {'classifier__C': 0.1, 'classifier__class_weight': None, 'classifier__gamma': 0.01, 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 10}
0.5111 (+/-0.028) for {'classifier__C': 0.1, 'classifier__class_weight': None, 'classifier__gamma': 0.01, 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 2}
0.5111 (+/-0.028) for {'classifier__C': 0.1, 'classifier__class_weight': None, 'classifier__gamma': 0.01, 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 5}
0.5111 (+/-0.028) for {'classifier__C': 0.1, 'classifier__class_weight': None, 'classifier__gamma': 0.01, 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 10}
0.5111 (+/-0.029) for {'classifier__C': 0.1, 'classifier__class_weight': None, 'classifier__gamma': 0.01, 'imputer__n_neighbors': 10, 'replacer__n_neighbors': 2}
0.5111 (+/-0.029) for {'classifier__C': 0.1, 'classifier__class_weight': None, 'classifier__gamma': 0.01, 'imputer__n_neighbors': 10, 'replacer__n_neighbors': 5}
0.5111 (+/-0.029) for {'classifier__C': 0.1, 'classifier__class_weight': None, 'classifier__gamma': 0.01, 'imputer__n_neighbors': 10, 'replacer__n_neighbors': 10}
0.6510 (+/-0.036) for {'classifier__C': 0.1, 'classifier__class_weight': None, 'classifier__gamma': 0.1, 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 2}
0.6510 (+/-0.036) for {'classifier__C': 0.1, 'classifier__class_weight': None, 'classifier__gamma': 0.1, 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 5}
0.6510 (+/-0.036) for {'classifier__C': 0.1, 'classifier__class_weight': None, 'classifier__gamma': 0.1, 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 10}
0.6513 (+/-0.037) for {'classifier__C': 0.1, 'classifier__class_weight': None, 'classifier__gamma': 0.1, 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 2}
0.6513 (+/-0.037) for {'classifier__C': 0.1, 'classifier__class_weight': None, 'classifier__gamma': 0.1, 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 5}
0.6513 (+/-0.037) for {'classifier__C': 0.1, 'classifier__class_weight': None, 'classifier__gamma': 0.1, 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 10}
0.6515 (+/-0.037) for {'classifier__C': 0.1, 'classifier__class_weight': None, 'classifier__gamma': 0.1, 'imputer__n_neighbors': 10, 'replacer__n_neighbors': 2}
0.6515 (+/-0.037) for {'classifier__C': 0.1, 'classifier__class_weight': None, 'classifier__gamma': 0.1, 'imputer__n_neighbors': 10, 'replacer__n_neighbors': 5}
0.6515 (+/-0.037) for {'classifier__C': 0.1, 'classifier__class_weight': None, 'classifier__gamma': 0.1, 'imputer__n_neighbors': 10, 'replacer__n_neighbors': 10}
0.1259 (+/-0.000) for {'classifier__C': 0.1, 'classifier__class_weight': None, 'classifier__gamma': 1.0, 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 2}
0.1259 (+/-0.000) for {'classifier__C': 0.1, 'classifier__class_weight': None, 'classifier__gamma': 1.0, 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 5}
0.1259 (+/-0.000) for {'classifier__C': 0.1, 'classifier__class_weight': None, 'classifier__gamma': 1.0, 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 10}
0.1259 (+/-0.000) for {'classifier__C': 0.1, 'classifier__class_weight': None, 'classifier__gamma': 1.0, 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 2}
0.1259 (+/-0.000) for {'classifier__C': 0.1, 'classifier__class_weight': None, 'classifier__gamma': 1.0, 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 5}
0.1259 (+/-0.000) for {'classifier__C': 0.1, 'classifier__class_weight': None, 'classifier__gamma': 1.0, 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 10}
0.1259 (+/-0.000) for {'classifier__C': 0.1, 'classifier__class_weight': None, 'classifier__gamma': 1.0, 'imputer__n_neighbors': 10, 'replacer__n_neighbors': 2}
0.1259 (+/-0.000) for {'classifier__C': 0.1, 'classifier__class_weight': None, 'classifier__gamma': 1.0, 'imputer__n_neighbors': 10, 'replacer__n_neighbors': 5}
0.1259 (+/-0.000) for {'classifier__C': 0.1, 'classifier__class_weight': None, 'classifier__gamma': 1.0, 'imputer__n_neighbors': 10, 'replacer__n_neighbors': 10}
0.1259 (+/-0.000) for {'classifier__C': 0.1, 'classifier__class_weight': None, 'classifier__gamma': 10.0, 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 2}
0.1259 (+/-0.000) for {'classifier__C': 0.1, 'classifier__class_weight': None, 'classifier__gamma': 10.0, 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 5}
0.1259 (+/-0.000) for {'classifier__C': 0.1, 'classifier__class_weight': None, 'classifier__gamma': 10.0, 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 10}
0.1259 (+/-0.000) for {'classifier__C': 0.1, 'classifier__class_weight': None, 'classifier__gamma': 10.0, 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 2}
0.1259 (+/-0.000) for {'classifier__C': 0.1, 'classifier__class_weight': None, 'classifier__gamma': 10.0, 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 5}
0.1259 (+/-0.000) for {'classifier__C': 0.1, 'classifier__class_weight': None, 'classifier__gamma': 10.0, 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 10}
0.1259 (+/-0.000) for {'classifier__C': 0.1, 'classifier__class_weight': None, 'classifier__gamma': 10.0, 'imputer__n_neighbors': 10, 'replacer__n_neighbors': 2}
0.1259 (+/-0.000) for {'classifier__C': 0.1, 'classifier__class_weight': None, 'classifier__gamma': 10.0, 'imputer__n_neighbors': 10, 'replacer__n_neighbors': 5}
0.1259 (+/-0.000) for {'classifier__C': 0.1, 'classifier__class_weight': None, 'classifier__gamma': 10.0, 'imputer__n_neighbors': 10, 'replacer__n_neighbors': 10}
0.1259 (+/-0.000) for {'classifier__C': 0.1, 'classifier__class_weight': None, 'classifier__gamma': 100.0, 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 2}
0.1259 (+/-0.000) for {'classifier__C': 0.1, 'classifier__class_weight': None, 'classifier__gamma': 100.0, 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 5}
0.1259 (+/-0.000) for {'classifier__C': 0.1, 'classifier__class_weight': None, 'classifier__gamma': 100.0, 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 10}
0.1259 (+/-0.000) for {'classifier__C': 0.1, 'classifier__class_weight': None, 'classifier__gamma': 100.0, 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 2}
0.1259 (+/-0.000) for {'classifier__C': 0.1, 'classifier__class_weight': None, 'classifier__gamma': 100.0, 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 5}
0.1259 (+/-0.000) for {'classifier__C': 0.1, 'classifier__class_weight': None, 'classifier__gamma': 100.0, 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 10}
0.1259 (+/-0.000) for {'classifier__C': 0.1, 'classifier__class_weight': None, 'classifier__gamma': 100.0, 'imputer__n_neighbors': 10, 'replacer__n_neighbors': 2}
0.1259 (+/-0.000) for {'classifier__C': 0.1, 'classifier__class_weight': None, 'classifier__gamma': 100.0, 'imputer__n_neighbors': 10, 'replacer__n_neighbors': 5}
0.1259 (+/-0.000) for {'classifier__C': 0.1, 'classifier__class_weight': None, 'classifier__gamma': 100.0, 'imputer__n_neighbors': 10, 'replacer__n_neighbors': 10}
0.1259 (+/-0.000) for {'classifier__C': 0.1, 'classifier__class_weight': None, 'classifier__gamma': 1000.0, 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 2}
0.1259 (+/-0.000) for {'classifier__C': 0.1, 'classifier__class_weight': None, 'classifier__gamma': 1000.0, 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 5}
0.1259 (+/-0.000) for {'classifier__C': 0.1, 'classifier__class_weight': None, 'classifier__gamma': 1000.0, 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 10}
0.1259 (+/-0.000) for {'classifier__C': 0.1, 'classifier__class_weight': None, 'classifier__gamma': 1000.0, 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 2}
0.1259 (+/-0.000) for {'classifier__C': 0.1, 'classifier__class_weight': None, 'classifier__gamma': 1000.0, 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 5}
0.1259 (+/-0.000) for {'classifier__C': 0.1, 'classifier__class_weight': None, 'classifier__gamma': 1000.0, 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 10}
0.1259 (+/-0.000) for {'classifier__C': 0.1, 'classifier__class_weight': None, 'classifier__gamma': 1000.0, 'imputer__n_neighbors': 10, 'replacer__n_neighbors': 2}
0.1259 (+/-0.000) for {'classifier__C': 0.1, 'classifier__class_weight': None, 'classifier__gamma': 1000.0, 'imputer__n_neighbors': 10, 'replacer__n_neighbors': 5}
0.1259 (+/-0.000) for {'classifier__C': 0.1, 'classifier__class_weight': None, 'classifier__gamma': 1000.0, 'imputer__n_neighbors': 10, 'replacer__n_neighbors': 10}
0.0872 (+/-0.045) for {'classifier__C': 0.1, 'classifier__class_weight': 'balanced', 'classifier__gamma': 1e-05, 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 2}
0.0872 (+/-0.045) for {'classifier__C': 0.1, 'classifier__class_weight': 'balanced', 'classifier__gamma': 1e-05, 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 5}
0.0872 (+/-0.045) for {'classifier__C': 0.1, 'classifier__class_weight': 'balanced', 'classifier__gamma': 1e-05, 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 10}
0.0872 (+/-0.045) for {'classifier__C': 0.1, 'classifier__class_weight': 'balanced', 'classifier__gamma': 1e-05, 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 2}
0.0872 (+/-0.045) for {'classifier__C': 0.1, 'classifier__class_weight': 'balanced', 'classifier__gamma': 1e-05, 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 5}
0.0872 (+/-0.045) for {'classifier__C': 0.1, 'classifier__class_weight': 'balanced', 'classifier__gamma': 1e-05, 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 10}
0.0872 (+/-0.045) for {'classifier__C': 0.1, 'classifier__class_weight': 'balanced', 'classifier__gamma': 1e-05, 'imputer__n_neighbors': 10, 'replacer__n_neighbors': 2}
0.0872 (+/-0.045) for {'classifier__C': 0.1, 'classifier__class_weight': 'balanced', 'classifier__gamma': 1e-05, 'imputer__n_neighbors': 10, 'replacer__n_neighbors': 5}
0.0872 (+/-0.045) for {'classifier__C': 0.1, 'classifier__class_weight': 'balanced', 'classifier__gamma': 1e-05, 'imputer__n_neighbors': 10, 'replacer__n_neighbors': 10}
0.0872 (+/-0.045) for {'classifier__C': 0.1, 'classifier__class_weight': 'balanced', 'classifier__gamma': 0.0001, 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 2}
0.0872 (+/-0.045) for {'classifier__C': 0.1, 'classifier__class_weight': 'balanced', 'classifier__gamma': 0.0001, 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 5}
0.0872 (+/-0.045) for {'classifier__C': 0.1, 'classifier__class_weight': 'balanced', 'classifier__gamma': 0.0001, 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 10}
0.0872 (+/-0.045) for {'classifier__C': 0.1, 'classifier__class_weight': 'balanced', 'classifier__gamma': 0.0001, 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 2}
0.0872 (+/-0.045) for {'classifier__C': 0.1, 'classifier__class_weight': 'balanced', 'classifier__gamma': 0.0001, 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 5}
0.0872 (+/-0.045) for {'classifier__C': 0.1, 'classifier__class_weight': 'balanced', 'classifier__gamma': 0.0001, 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 10}
0.0872 (+/-0.045) for {'classifier__C': 0.1, 'classifier__class_weight': 'balanced', 'classifier__gamma': 0.0001, 'imputer__n_neighbors': 10, 'replacer__n_neighbors': 2}
0.0872 (+/-0.045) for {'classifier__C': 0.1, 'classifier__class_weight': 'balanced', 'classifier__gamma': 0.0001, 'imputer__n_neighbors': 10, 'replacer__n_neighbors': 5}
0.0872 (+/-0.045) for {'classifier__C': 0.1, 'classifier__class_weight': 'balanced', 'classifier__gamma': 0.0001, 'imputer__n_neighbors': 10, 'replacer__n_neighbors': 10}
0.4538 (+/-0.038) for {'classifier__C': 0.1, 'classifier__class_weight': 'balanced', 'classifier__gamma': 0.001, 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 2}
0.4538 (+/-0.038) for {'classifier__C': 0.1, 'classifier__class_weight': 'balanced', 'classifier__gamma': 0.001, 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 5}
0.4538 (+/-0.038) for {'classifier__C': 0.1, 'classifier__class_weight': 'balanced', 'classifier__gamma': 0.001, 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 10}
0.4539 (+/-0.038) for {'classifier__C': 0.1, 'classifier__class_weight': 'balanced', 'classifier__gamma': 0.001, 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 2}
0.4539 (+/-0.038) for {'classifier__C': 0.1, 'classifier__class_weight': 'balanced', 'classifier__gamma': 0.001, 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 5}
0.4539 (+/-0.038) for {'classifier__C': 0.1, 'classifier__class_weight': 'balanced', 'classifier__gamma': 0.001, 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 10}
0.4539 (+/-0.038) for {'classifier__C': 0.1, 'classifier__class_weight': 'balanced', 'classifier__gamma': 0.001, 'imputer__n_neighbors': 10, 'replacer__n_neighbors': 2}
0.4539 (+/-0.038) for {'classifier__C': 0.1, 'classifier__class_weight': 'balanced', 'classifier__gamma': 0.001, 'imputer__n_neighbors': 10, 'replacer__n_neighbors': 5}
0.4539 (+/-0.038) for {'classifier__C': 0.1, 'classifier__class_weight': 'balanced', 'classifier__gamma': 0.001, 'imputer__n_neighbors': 10, 'replacer__n_neighbors': 10}
0.5901 (+/-0.030) for {'classifier__C': 0.1, 'classifier__class_weight': 'balanced', 'classifier__gamma': 0.01, 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 2}
0.5901 (+/-0.030) for {'classifier__C': 0.1, 'classifier__class_weight': 'balanced', 'classifier__gamma': 0.01, 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 5}
0.5901 (+/-0.030) for {'classifier__C': 0.1, 'classifier__class_weight': 'balanced', 'classifier__gamma': 0.01, 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 10}
0.5905 (+/-0.031) for {'classifier__C': 0.1, 'classifier__class_weight': 'balanced', 'classifier__gamma': 0.01, 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 2}
0.5905 (+/-0.031) for {'classifier__C': 0.1, 'classifier__class_weight': 'balanced', 'classifier__gamma': 0.01, 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 5}
0.5905 (+/-0.031) for {'classifier__C': 0.1, 'classifier__class_weight': 'balanced', 'classifier__gamma': 0.01, 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 10}
0.5905 (+/-0.030) for {'classifier__C': 0.1, 'classifier__class_weight': 'balanced', 'classifier__gamma': 0.01, 'imputer__n_neighbors': 10, 'replacer__n_neighbors': 2}
0.5905 (+/-0.030) for {'classifier__C': 0.1, 'classifier__class_weight': 'balanced', 'classifier__gamma': 0.01, 'imputer__n_neighbors': 10, 'replacer__n_neighbors': 5}
0.5905 (+/-0.030) for {'classifier__C': 0.1, 'classifier__class_weight': 'balanced', 'classifier__gamma': 0.01, 'imputer__n_neighbors': 10, 'replacer__n_neighbors': 10}
0.7379 (+/-0.022) for {'classifier__C': 0.1, 'classifier__class_weight': 'balanced', 'classifier__gamma': 0.1, 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 2}
0.7379 (+/-0.022) for {'classifier__C': 0.1, 'classifier__class_weight': 'balanced', 'classifier__gamma': 0.1, 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 5}
0.7379 (+/-0.022) for {'classifier__C': 0.1, 'classifier__class_weight': 'balanced', 'classifier__gamma': 0.1, 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 10}
0.7375 (+/-0.023) for {'classifier__C': 0.1, 'classifier__class_weight': 'balanced', 'classifier__gamma': 0.1, 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 2}
0.7375 (+/-0.023) for {'classifier__C': 0.1, 'classifier__class_weight': 'balanced', 'classifier__gamma': 0.1, 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 5}
0.7375 (+/-0.023) for {'classifier__C': 0.1, 'classifier__class_weight': 'balanced', 'classifier__gamma': 0.1, 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 10}
0.7375 (+/-0.022) for {'classifier__C': 0.1, 'classifier__class_weight': 'balanced', 'classifier__gamma': 0.1, 'imputer__n_neighbors': 10, 'replacer__n_neighbors': 2}
0.7375 (+/-0.022) for {'classifier__C': 0.1, 'classifier__class_weight': 'balanced', 'classifier__gamma': 0.1, 'imputer__n_neighbors': 10, 'replacer__n_neighbors': 5}
0.7375 (+/-0.022) for {'classifier__C': 0.1, 'classifier__class_weight': 'balanced', 'classifier__gamma': 0.1, 'imputer__n_neighbors': 10, 'replacer__n_neighbors': 10}
0.0872 (+/-0.045) for {'classifier__C': 0.1, 'classifier__class_weight': 'balanced', 'classifier__gamma': 1.0, 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 2}
0.0872 (+/-0.045) for {'classifier__C': 0.1, 'classifier__class_weight': 'balanced', 'classifier__gamma': 1.0, 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 5}
0.0872 (+/-0.045) for {'classifier__C': 0.1, 'classifier__class_weight': 'balanced', 'classifier__gamma': 1.0, 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 10}
0.0872 (+/-0.045) for {'classifier__C': 0.1, 'classifier__class_weight': 'balanced', 'classifier__gamma': 1.0, 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 2}
0.0872 (+/-0.045) for {'classifier__C': 0.1, 'classifier__class_weight': 'balanced', 'classifier__gamma': 1.0, 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 5}
0.0872 (+/-0.045) for {'classifier__C': 0.1, 'classifier__class_weight': 'balanced', 'classifier__gamma': 1.0, 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 10}
0.0872 (+/-0.045) for {'classifier__C': 0.1, 'classifier__class_weight': 'balanced', 'classifier__gamma': 1.0, 'imputer__n_neighbors': 10, 'replacer__n_neighbors': 2}
0.0872 (+/-0.045) for {'classifier__C': 0.1, 'classifier__class_weight': 'balanced', 'classifier__gamma': 1.0, 'imputer__n_neighbors': 10, 'replacer__n_neighbors': 5}
0.0872 (+/-0.045) for {'classifier__C': 0.1, 'classifier__class_weight': 'balanced', 'classifier__gamma': 1.0, 'imputer__n_neighbors': 10, 'replacer__n_neighbors': 10}
0.0872 (+/-0.045) for {'classifier__C': 0.1, 'classifier__class_weight': 'balanced', 'classifier__gamma': 10.0, 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 2}
0.0872 (+/-0.045) for {'classifier__C': 0.1, 'classifier__class_weight': 'balanced', 'classifier__gamma': 10.0, 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 5}
0.0872 (+/-0.045) for {'classifier__C': 0.1, 'classifier__class_weight': 'balanced', 'classifier__gamma': 10.0, 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 10}
